Location,Phase,Cheese,Charm,Mouse,,,,,,,,,
Derr Dunes,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Healer,9.43%,,,,,,,,
Derr Dunes,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Wordsmith,9.18%,,,,,,,,
Derr Dunes,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Grunt,7.23%,,,,,,,,
Derr Dunes,-,Crunchy,-,Guardian,57.16%,,,,,,,,
Derr Dunes,-,Crunchy,-,Gladiator,28.52%,,,,,,,,
Derr Dunes,-,Crunchy,-,Derr Chieftain,14.33%,,,,,,,,
Derr Dunes,-,Gouda,-,Spellbinder,15.97%,,,,,,,,
Derr Dunes,-,Gouda,-,Seer,15.74%,,,,,,,,
Derr Dunes,-,Gouda,-,Renegade,15.73%,,,,,,,,
Derr Dunes,-,Gouda,-,Mintaka,15.73%,,,,,,,,
Derr Dunes,-,Gouda,-,Grunt,11.77%,,,,,,,,
Derr Dunes,-,Gouda,-,Trailblazer,9.19%,,,,,,,,
Derr Dunes,-,Gouda,-,Healer,7.93%,,,,,,,,
Derr Dunes,-,Gouda,-,Wordsmith,7.93%,,,,,,,,
Derr Dunes,-,SB+,-,Grunt,17.95%,,,,,,,,
Derr Dunes,-,SB+,-,Renegade,17.19%,,,,,,,,
Derr Dunes,-,SB+,-,Seer,17.17%,,,,,,,,
Derr Dunes,-,SB+,-,Spellbinder,17.17%,,,,,,,,
Derr Dunes,-,SB+,-,Mintaka,16.85%,,,,,,,,
Derr Dunes,-,SB+,-,Trailblazer,4.71%,,,,,,,,
Derr Dunes,-,SB+,-,Healer,4.23%,,,,,,,,
Derr Dunes,-,SB+,-,Wordsmith,4.01%,,,,,,,,
Derr Dunes,-,SB+,-,Black Widow,0.72%,,,,,,,,
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Kung Fu,12.25%,,,,,,,,
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Samurai,12.24%,,,,,,,,
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Ninja,12.04%,,,,,,,,
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Archer,10.66%,,,,,,,,
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Gold,8.95%,,,,,,,,
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Student of the Cheese Claw,8.94%,,,,,,,,
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Student of the Cheese Fang,8.74%,,,,,,,,
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Student of the Cheese Belt,8.65%,,,,,,,,
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Monk,7.60%,,,,,,,,
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Diamond,6.00%,,,,,,,,
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Hapless,3.09%,,,,,,,,
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Assassin,0.84%,,,,,,,,
Dojo,-,Maki,-,Student of the Cheese Claw,23.37%,,,,,,,,
Dojo,-,Maki,-,Student of the Cheese Fang,23.32%,,,,,,,,
Dojo,-,Maki,-,Student of the Cheese Belt,23.14%,,,,,,,,
Dojo,-,Maki,-,Kung Fu,4.85%,,,,,,,,
Dojo,-,Maki,-,Ninja,4.72%,,,,,,,,
Dojo,-,Maki,-,Archer,4.08%,,,,,,,,
Dojo,-,Maki,-,Gold,3.60%,,,,,,,,
Dojo,-,Maki,-,Monk,2.92%,,,,,,,,
Dojo,-,Maki,-,Worker,2.90%,,,,,,,,
Dojo,-,Maki,-,Samurai,2.88%,,,,,,,,
Dojo,-,Maki,-,Diamond,2.43%,,,,,,,,
Dojo,-,Maki,-,Assassin,1.79%,,,,,,,,
Dojo,-,SB+,-,Student of the Cheese Fang,13.89%,,,,,,,,
Dojo,-,SB+,-,Student of the Cheese Claw,13.63%,,,,,,,,
Dojo,-,SB+,-,Student of the Cheese Belt,13.56%,,,,,,,,
Dojo,-,SB+,-,Ninja,9.72%,,,,,,,,
Dojo,-,SB+,-,Kung Fu,9.43%,,,,,,,,
Dojo,-,SB+,-,Archer,8.80%,,,,,,,,
Dojo,-,SB+,-,Gold,7.77%,,,,,,,,
Dojo,-,SB+,-,Samurai,6.03%,,,,,,,,
Dojo,-,SB+,-,Monk,5.84%,,,,,,,,
Dojo,-,SB+,-,Diamond,5.34%,,,,,,,,
Dojo,-,SB+,-,Worker,4.28%,,,,,,,,
Dojo,-,SB+,-,Assassin,1.70%,,,,,,,,
Dracano,-,Inferno Havarti,-,Dragon,38.55%,,,,,,,,
Dracano,-,Inferno Havarti,-,Whelpling,32.03%,,,,,,,,
Dracano,-,Inferno Havarti,-,Draconic Warden,29.42%,,,,,,,,
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Pinchy,24.03%,,,,,,,,
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Vanquisher,10.73%,,,,,,,,
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Mystic,10.70%,,,,,,,,
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Soothsayer,10.28%,,,,,,,,
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Alchemist,10.09%,,,,,,,,
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Alnitak,9.77%,,,,,,,,
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Taleweaver,9.51%,,,,,,,,
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Scout,8.61%,,,,,,,,
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Pack,6.30%,,,,,,,,
Elub Shore,-,Gouda,-,Soothsayer,15.98%,,,,,,,,
Elub Shore,-,Gouda,-,Vanquisher,15.88%,,,,,,,,
Elub Shore,-,Gouda,-,Alnitak,15.80%,,,,,,,,
Elub Shore,-,Gouda,-,Mystic,15.79%,,,,,,,,
Elub Shore,-,Gouda,-,Pack,11.76%,,,,,,,,
Elub Shore,-,Gouda,-,Alchemist,8.86%,,,,,,,,
Elub Shore,-,Gouda,-,Scout,8.00%,,,,,,,,
Elub Shore,-,Gouda,-,Taleweaver,7.93%,,,,,,,,
Elub Shore,-,Shell,-,Protector,57.58%,,,,,,,,
Elub Shore,-,Shell,-,Champion,28.30%,,,,,,,,
Elub Shore,-,Shell,-,Elub Chieftain,14.12%,,,,,,,,
Elub Shore,-,SB+,-,Mystic,17.69%,,,,,,,,
Elub Shore,-,SB+,-,Vanquisher,17.64%,,,,,,,,
Elub Shore,-,SB+,-,Soothsayer,17.18%,,,,,,,,
Elub Shore,-,SB+,-,Pack,16.76%,,,,,,,,
Elub Shore,-,SB+,-,Alnitak,16.58%,,,,,,,,
Elub Shore,-,SB+,-,Scout,4.56%,,,,,,,,
Elub Shore,-,SB+,-,Taleweaver,4.37%,,,,,,,,
Elub Shore,-,SB+,-,Alchemist,4.35%,,,,,,,,
Elub Shore,-,SB+,-,Black Widow,0.87%,,,,,,,,
Event Mice,-,SB+,-,Birthday,11.11%,,,,,,,,
Event Mice,-,SB+,-,Glitchpaw,11.11%,,,,,,,,
Event Mice,-,SB+,-,High Roller,11.11%,,,,,,,,
Event Mice,-,SB+,-,Hope,11.11%,,,,,,,,
Event Mice,-,SB+,-,Leprechaun,11.11%,,,,,,,,
Event Mice,-,SB+,-,Lucky,11.11%,,,,,,,,
Event Mice,-,SB+,-,Mobster,11.11%,,,,,,,,
Event Mice,-,SB+,-,Snooty,11.11%,,,,,,,,
Event Mice,-,SB+,-,Treasurer,11.11%,,,,,,,,
Fiery Warpath,Wave 1,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Desert Soldier,26.87%,,,,,,,,
Fiery Warpath,Wave 1,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Desert Archer,25.66%,,,,,,,,
Fiery Warpath,Wave 1,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Vanguard,25.12%,,,,,,,,
Fiery Warpath,Wave 1,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Crimson Commander,10.50%,,,,,,,,
Fiery Warpath,Wave 1,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Caravan Guard,10.09%,,,,,,,,
Fiery Warpath,Wave 1,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Gargantuamouse,1.76%,,,,,,,,
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Sand Cavalry,25.75%,,,,,,,,
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Flame Warrior,19.95%,,,,,,,,
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Flame Archer,19.37%,,,,,,,,
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Sentinel,18.93%,,,,,,,,
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Inferno Mage,11.14%,,,,,,,,
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Caravan Guard,2.29%,,,,,,,,
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Crimson Commander,2.17%,,,,,,,,
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Gargantuamouse,0.40%,,,,,,,,
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Sandwing Cavalry,24.46%,,,,,,,,
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Crimson Titan,17.36%,,,,,,,,
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Crimson Ranger,16.82%,,,,,,,,
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Crimson Watch,16.63%,,,,,,,,
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Magmarage,11.28%,,,,,,,,
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Flame Ordnance,8.68%,,,,,,,,
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Crimson Commander,2.47%,,,,,,,,
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Caravan Guard,2.10%,,,,,,,,
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Gargantuamouse,0.20%,,,,,,,,
Fiery Warpath,Wave 4,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Theurgy Warden,69.51%,,,,,,,,
Fiery Warpath,Wave 4,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Warmonger,30.49%,,,,,,,,
Forbidden Grove,-,Ancient,-,Gargoyle,17.92%,,,,,,,,
Forbidden Grove,-,Ancient,-,Spider,15.50%,,,,,,,,
Forbidden Grove,-,Ancient,-,Ghost,12.90%,,,,,,,,
Forbidden Grove,-,Ancient,-,Scavenger,10.18%,,,,,,,,
Forbidden Grove,-,Ancient,-,Vampire,7.58%,,,,,,,,
Forbidden Grove,-,Ancient,-,Zombie,6.49%,,,,,,,,
Forbidden Grove,-,Ancient,-,Bat,6.48%,,,,,,,,
Forbidden Grove,-,Ancient,-,Golem,5.22%,,,,,,,,
Forbidden Grove,-,Ancient,-,Spectre,5.13%,,,,,,,,
Forbidden Grove,-,Ancient,-,Ravenous Zombie,2.63%,,,,,,,,
Forbidden Grove,-,Ancient,-,Gate Guardian,2.56%,,,,,,,,
Forbidden Grove,-,Ancient,-,Reaper,2.56%,,,,,,,,
Forbidden Grove,-,Ancient,-,Gorgon,2.55%,,,,,,,,
Forbidden Grove,-,Ancient,-,Sorcerer,1.30%,,,,,,,,
Forbidden Grove,-,Ancient,-,Realm Ripper,1.00%,,,,,,,,
Forbidden Grove,-,Moon,-,Lycan,46.86%,,,,,,,,
Forbidden Grove,-,Moon,-,Scavenger,21.97%,,,,,,,,
Forbidden Grove,-,Moon,-,Sorcerer,12.89%,,,,,,,,
Forbidden Grove,-,Moon,-,Ghost,11.42%,,,,,,,,
Forbidden Grove,-,Moon,-,Vampire,5.86%,,,,,,,,
Forbidden Grove,-,Moon,-,Realm Ripper,1.00%,,,,,,,,
Forbidden Grove,-,Radioactive Blue,-,Mutated White,23.61%,,,,,,,,
Forbidden Grove,-,Radioactive Blue,-,Mutated Grey,22.89%,,,,,,,,
Forbidden Grove,-,Radioactive Blue,-,Ghost,17.12%,,,,,,,,
Forbidden Grove,-,Radioactive Blue,-,Mutated Brown,12.53%,,,,,,,,
Forbidden Grove,-,Radioactive Blue,-,Realm Ripper,9.15%,,,,,,,,
Forbidden Grove,-,Radioactive Blue,-,Zombie,8.32%,,,,,,,,
Forbidden Grove,-,Radioactive Blue,-,Ravenous Zombie,3.49%,,,,,,,,
Forbidden Grove,-,Radioactive Blue,-,Lycan,1.76%,,,,,,,,
Forbidden Grove,-,Radioactive Blue,-,Black Widow,0.13%,,,,,,,,
Forbidden Grove,-,Radioactive Blue,-,Realm Ripper,1.00%,,,,,,,,
Fungal Cavern,-,SB+,-,Funglore,15.02%,,,,,,,,
Fungal Cavern,-,SB+,-,Lumahead,14.03%,,,,,,,,
Fungal Cavern,-,SB+,-,Floating Spore,12.14%,,,,,,,,
Fungal Cavern,-,SB+,-,Mush,12.01%,,,,,,,,
Fungal Cavern,-,SB+,-,Quillback,11.99%,,,,,,,,
Fungal Cavern,-,SB+,-,Mushroom Sprite,8.04%,,,,,,,,
Fungal Cavern,-,SB+,-,Bitter Root,7.99%,,,,,,,,
Fungal Cavern,-,SB+,-,Nightshade Masquerade,7.86%,,,,,,,,
Fungal Cavern,-,SB+,-,Spiked Burrower,7.17%,,,,,,,,
Fungal Cavern,-,SB+,-,Spore Muncher,1.28%,,,,,,,,
Fungal Cavern,-,SB+,-,Sporeticus,1.25%,,,,,,,,
Fungal Cavern,-,SB+,-,Mouldy Mole,1.23%,,,,,,,,
Fungal Cavern,-,Gouda,-,Mush,15.05%,,,,,,,,
Fungal Cavern,-,Gouda,-,Funglore,14.97%,,,,,,,,
Fungal Cavern,-,Gouda,-,Floating Spore,14.04%,,,,,,,,
Fungal Cavern,-,Gouda,-,Lumahead,13.96%,,,,,,,,
Fungal Cavern,-,Gouda,-,Quillback,11.99%,,,,,,,,
Fungal Cavern,-,Gouda,-,Mushroom Sprite,9.73%,,,,,,,,
Fungal Cavern,-,Gouda,-,Bitter Root,7.98%,,,,,,,,
Fungal Cavern,-,Gouda,-,Spiked Burrower,7.02%,,,,,,,,
Fungal Cavern,-,Gouda,-,Spore Muncher,2.03%,,,,,,,,
Fungal Cavern,-,Gouda,-,Mouldy Mole,2.00%,,,,,,,,
Fungal Cavern,-,Gouda,-,Sporeticus,1.22%,,,,,,,,
Fungal Cavern,-,Brie,-,Mush,14.60%,,,,,,,,
Fungal Cavern,-,Brie,-,Funglore,12.55%,,,,,,,,
Fungal Cavern,-,Brie,-,Floating Spore,12.49%,,,,,,,,
Fungal Cavern,-,Brie,-,Lumahead,10.67%,,,,,,,,
Fungal Cavern,-,Brie,-,Quillback,10.63%,,,,,,,,
Fungal Cavern,-,Brie,-,Mushroom Sprite,9.21%,,,,,,,,
Fungal Cavern,-,Brie,-,Bitter Root,8.05%,,,,,,,,
Fungal Cavern,-,Brie,-,Spiked Burrower,7.22%,,,,,,,,
Fungal Cavern,-,Brie,-,Spore Muncher,4.90%,,,,,,,,
Fungal Cavern,-,Brie,-,Mouldy Mole,4.85%,,,,,,,,
Fungal Cavern,-,Brie,-,Sporeticus,4.84%,,,,,,,,
Fungal Cavern,-,Glowing Gruyere,-,Crag Elder,19.99%,,,,,,,,
Fungal Cavern,-,Glowing Gruyere,-,Stone Maiden,19.72%,,,,,,,,
Fungal Cavern,-,Glowing Gruyere,-,Crystalline Slasher,18.28%,,,,,,,,
Fungal Cavern,-,Glowing Gruyere,-,Dirt Thing,18.11%,,,,,,,,
Fungal Cavern,-,Glowing Gruyere,-,Cavern Crumbler,11.90%,,,,,,,,
Fungal Cavern,-,Glowing Gruyere,-,Shattered Obsidian,5.99%,,,,,,,,
Fungal Cavern,-,Glowing Gruyere,-,Splintered Stone Sentry,4.09%,,,,,,,,
Fungal Cavern,-,Glowing Gruyere,-,Gemstone Worshipper,1.92%,,,,,,,,
Fungal Cavern,-,Mineral,-,Gemorpher,27.02%,,,,,,,,
Fungal Cavern,-,Mineral,-,Crystal Controller,25.10%,,,,,,,,
Fungal Cavern,-,Mineral,-,Crystalback,23.83%,,,,,,,,
Fungal Cavern,-,Mineral,-,Stalagmite,14.84%,,,,,,,,
Fungal Cavern,-,Mineral,-,Crystal Cave Worm,6.18%,,,,,,,,
Fungal Cavern,-,Mineral,-,Crystal Queen,1.10%,,,,,,,,
Fungal Cavern,-,Mineral,-,Crystal Observer,0.96%,,,,,,,,
Fungal Cavern,-,Mineral,-,Crystal Lurker,0.95%,,,,,,,,
Fungal Cavern,-,Gemstone,-,Crystal Queen,37.10%,,,,,,,,
Fungal Cavern,-,Gemstone,-,Crystal Lurker,30.30%,,,,,,,,
Fungal Cavern,-,Gemstone,-,Crystal Observer,25.25%,,,,,,,,
Fungal Cavern,-,Gemstone,-,Crystal Golem,5.03%,,,,,,,,
Fungal Cavern,-,Gemstone,-,Huntereater,1.36%,,,,,,,,
Fungal Cavern,-,Gemstone,-,Diamondhide,0.96%,,,,,,,,
Fungal Cavern,-,Diamond,-,Crystal Behemoth,63.77%,,,,,,,,
Fungal Cavern,-,Diamond,-,Huntereater,26.42%,,,,,,,,
Fungal Cavern,-,Diamond,-,Diamondhide,9.81%,,,,,,,,
Gnawnia Rift,-,Brie String,-,Brawny,16.13%,,,,,,,,
Gnawnia Rift,-,Brie String,-,Riftweaver,15.89%,,,,,,,,
Gnawnia Rift,-,Brie String,-,Greyrun,15.11%,,,,,,,,
Gnawnia Rift,-,Brie String,-,Agitated Gentle Giant,15.02%,,,,,,,,
Gnawnia Rift,-,Brie String,-,Supernatural,14.97%,,,,,,,,
Gnawnia Rift,-,Brie String,-,Excitable Electric,14.95%,,,,,,,,
Gnawnia Rift,-,Brie String,-,Raw Diamond,1.99%,,,,,,,,
Gnawnia Rift,-,Brie String,-,Mighty Mole,1.99%,,,,,,,,
Gnawnia Rift,-,Brie String,-,Micro,1.97%,,,,,,,,
Gnawnia Rift,-,Brie String,-,Dream Drifter,1.01%,,,,,,,,
Gnawnia Rift,-,Brie String,-,Wealth,0.97%,,,,,,,,
Gnawnia Rift,-,Riftiago,-,Spiritual Steel,25.09%,,,,,,,,
Gnawnia Rift,-,Riftiago,-,Shard Centurion,24.94%,,,,,,,,
Gnawnia Rift,-,Riftiago,-,Cyborg,24.88%,,,,,,,,
Gnawnia Rift,-,Riftiago,-,Rift Guardian,15.13%,,,,,,,,
Gnawnia Rift,-,Riftiago,-,Raw Diamond,5.03%,,,,,,,,
Gnawnia Rift,-,Riftiago,-,Wealth,4.93%,,,,,,,,
Gnawnia Rift,-,Magical String,-,Micro,15.02%,,,,,,,,
Gnawnia Rift,-,Magical String,-,Riftweaver,13.06%,,,,,,,,
Gnawnia Rift,-,Magical String,-,Greyrun,11.89%,,,,,,,,
Gnawnia Rift,-,Magical String,-,Brawny,11.88%,,,,,,,,
Gnawnia Rift,-,Magical String,-,Agitated Gentle Giant,10.06%,,,,,,,,
Gnawnia Rift,-,Magical String,-,Excitable Electric,9.12%,,,,,,,,
Gnawnia Rift,-,Magical String,-,Supernatural,8.91%,,,,,,,,
Gnawnia Rift,-,Magical String,-,Dream Drifter,8.91%,,,,,,,,
Gnawnia Rift,-,Magical String,-,Mighty Mole,5.99%,,,,,,,,
Gnawnia Rift,-,Magical String,-,Raw Diamond,3.03%,,,,,,,,
Gnawnia Rift,-,Magical String,-,Wealth,2.12%,,,,,,,,
Gnawnia Rift,-,Swiss String,-,Riftweaver,17.23%,,,,,,,,
Gnawnia Rift,-,Swiss String,-,Greyrun,17.17%,,,,,,,,
Gnawnia Rift,-,Swiss String,-,Brawny,16.67%,,,,,,,,
Gnawnia Rift,-,Swiss String,-,Supernatural,14.21%,,,,,,,,
Gnawnia Rift,-,Swiss String,-,Excitable Electric,13.73%,,,,,,,,
Gnawnia Rift,-,Swiss String,-,Agitated Gentle Giant,13.12%,,,,,,,,
Gnawnia Rift,-,Swiss String,-,Mighty Mole,4.86%,,,,,,,,
Gnawnia Rift,-,Swiss String,-,Wealth,1.93%,,,,,,,,
Gnawnia Rift,-,Swiss String,-,Raw Diamond,1.07%,,,,,,,,
Gnawnia Rift,-,Marble String,-,Riftweaver,19.13%,,,,,,,,
Gnawnia Rift,-,Marble String,-,Brawny,18.94%,,,,,,,,
Gnawnia Rift,-,Marble String,-,Greyrun,18.48%,,,,,,,,
Gnawnia Rift,-,Marble String,-,Excitable Electric,14.34%,,,,,,,,
Gnawnia Rift,-,Marble String,-,Supernatural,14.06%,,,,,,,,
Gnawnia Rift,-,Marble String,-,Agitated Gentle Giant,13.06%,,,,,,,,
Gnawnia Rift,-,Marble String,-,Mighty Mole,1.99%,,,,,,,,
Gnawnia Rift,-,Resonator,-,Goliath Field,100.00%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Angry Train Staff,11.70%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Mysterious Traveller,11.96%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Passenger,12.04%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Photographer,11.60%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Stowaway,5.81%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Train Conductor,12.44%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Travelling Barber,12.35%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Bartender,4.20%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Farrier,3.42%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Parlour Player,2.94%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Stuffy Banker,3.92%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Tonic Salesman,3.36%,,,,,,,,
Gnawnian Express Station,Waiting,SB+,-,Upper Class Lady,4.24%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Angry Train Staff,12.61%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Mysterious Traveller,12.71%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Passenger,12.87%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Photographer,13.10%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Stowaway,1.27%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Train Conductor,12.48%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Travelling Barber,12.78%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Bartender,3.89%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Farrier,3.44%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Parlour Player,3.43%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Stuffy Banker,3.92%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Tonic Salesman,3.53%,,,,,,,,
Gnawnian Express Station,Waiting,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Upper Class Lady,3.96%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Crate Camo,12.37%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Cute Crate Carrier,16.83%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Angry Train Staff,8.85%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Bartender,2.83%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Farrier,2.50%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Mysterious Traveller,8.03%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Parlour Player,2.83%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Passenger,8.85%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Photographer,8.11%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Stowaway,4.54%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Stuffy Banker,2.50%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Tonic Salesman,2.27%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Train Conductor,8.77%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Travelling Barber,7.85%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),SB+,-,Upper Class Lady,2.83%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Crate Camo,13.01%,,,,,,,,
Gnawnian Express Station,Supply Depot (No Supply Rush),Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Cute Crate Carrier,16.89%,,,,,,,,
